"ObjectID","GlobalID","SampleDateTime","SampleLocationAccuracy","Gear","PointId","GearPointId","Sector","DissolvedOxygen_mgL","Conductivity_umhosCm","Salinity_ppt","TDS_mgL","pH","Turbidity_NTU","Temperature_F","Notes","CreationDate","Creator","EditDate","Editor","SecchiDepth_m","Precipitation","CloudCover","X","Y"
26,"652c152a-321b-482c-8131-8e2c826ba5b5",2023-12-05 11:33:00,"4","BottomTrawl","J20","BottomTrawlJ20","4",8.05,1458,0.94,1166,7.25,12.22,60.1,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.5515610889874,30.2078173159862
27,"c4e3a891-028b-4565-b4b4-6d4b655ee5be",2023-12-05 12:19:00,"4","BottomTrawl","J21","BottomTrawlJ21","4",4.28,555,0.24,420,6.83,17.17,62.9,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.5565220457047,30.2023532536424
28,"89cfd249-0a27-4c0b-9d5b-2833c5df8d60",2023-12-05 13:04:00,"4","BottomTrawl","H22","BottomTrawlH22","4",3.3,317.3,0.18,240,6.77,14.1,64,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.5750784596178,30.2034493763856
29,"c9daa46a-ce0e-4010-92f4-b1c9dc1eecaa",2023-12-05 13:52:00,"3","BottomTrawl","L12","BottomTrawlL12","5",10.03,3018,1.93,2390,7.75,4.63,59.8,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.5024423971106,30.2552820107952
30,"160b82b8-b87d-40c3-be6d-bee33e42b4b8",2023-12-05 14:42:00,"4","BottomTrawl","K10","BottomTrawlK10","5",10.56,3151,2.02,2473,8.05,3.39,60.8,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.5011675284306,30.2745022362124
31,"ea1f30c9-f669-4b67-aa3d-550a19a1fd7b",2023-12-05 15:12:00,"4","BottomTrawl","J10","BottomTrawlJ10","5",10.22,2348,1.49,1850,7.57,4.93,60.6,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.5125268921734,30.2789808537992
32,"3fab7b73-5835-48c9-aecd-3052b24c575f",2023-12-07 08:26:00,"4","GillnetInshore","530IN","GillnetInshore530IN","6",7.55,2420,1.59,1976,6.98,10.88,57.8,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.536234476475,30.308682115333
33,"e64030d5-11d7-4bbc-b39f-d909affb86d1",2023-12-07 08:49:00,"2","GillnetInshore","532IN","GillnetInshore532IN","6",7.83,2420,1.6,1980,7.02,9.55,57.6,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.5348141624756,30.3102255505574
34,"04cf72b3-3119-4c48-a076-17447217a26b",2023-12-07 09:24:00,"4","GillnetInshore","5IN","GillnetInshore5IN","6",8.44,1954,1.2,1460,6.94,8.99,58.1,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4741676261414,30.3399435981553
35,"600f43eb-8d46-4a77-b7cd-c56c483ae55c",2023-12-07 10:46:00,"3","GillnetInshore","28IN","GillnetInshore28IN","1",9.07,2119,1.38,1725,7.19,6.51,58.1,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4534757617472,30.3295713989663
36,"88669495-6822-422d-9137-67b3d199699a",2023-12-07 11:18:00,"4","GillnetInshore","77IN","GillnetInshore77IN","1",8.56,1855,1.19,1499,6.92,9.15,58.2,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4226357051232,30.3070441623928
37,"16a6d5dc-351a-4709-b21b-3970bfa2f4b0",2023-12-07 11:53:00,"4","GillnetInshore","89IN","GillnetInshore89IN","1",10.19,2360,1.54,1913,7.5,7.84,58.4,NA,2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",2023-12-12 15:45:21.715,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4273845359861,30.2971270180153
38,"d9bf8197-bff5-4665-85fa-165fdf257605",2023-12-08 02:00:00,NA,"eDNA_IN","279IN","eDNA_IN279IN","3",8.14,956,0.59,NA,7.37,52.84,58.9,"S9; Tree stumps, dredge at 30.17249, 90.50631",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:25:37.28,"wray.gabel_lmmp_selu",NA,NA,NA,-90.50631,30.17249
39,"c28f945c-3be0-4cc8-9f1e-a4d2e120fdf2",2023-12-08 02:00:00,NA,"eDNA_IN","326IN","eDNA_IN326IN","4",5.77,512,0.31,NA,7.14,26.63,59.1,"S8",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:25:15.725,"wray.gabel_lmmp_selu",NA,NA,NA,-90.55367,30.1717
40,"4f6b0c17-c09e-4274-9457-fb203f011881",2023-12-08 02:00:00,NA,"eDNA_IN","375IN","eDNA_IN375IN","4",7.24,460.3,0.27,NA,7.1,20.27,60.4,"S7",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:24:53.253,"wray.gabel_lmmp_selu",NA,NA,NA,-90.59157,30.19721
41,"bdeb9861-4d7a-4534-85cb-06d1ad15ab2b",2023-12-08 02:00:00,NA,"eDNA_IN","420IN","eDNA_IN420IN","4",7.55,1552,0.91,NA,7.05,11.4,58.8,"S6",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:24:40.133,"wray.gabel_lmmp_selu",NA,NA,NA,-90.57056,30.22505
42,"db526ae7-4d0e-401a-933c-822b1deb70ed",2023-12-08 02:00:00,NA,"eDNA_IN","461IN","eDNA_IN461IN","5",7.27,840,1.12,NA,7.14,22.5,59.4,"S5",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:23:14.237,"wray.gabel_lmmp_selu",NA,NA,NA,-90.58092,30.26153
43,"da2abbf3-ab4e-432e-8bfc-7e2027259c21",2023-12-08 02:00:00,NA,"eDNA_IN","507IN","eDNA_IN507IN","6",7.31,859,0.52,NA,6.99,18.53,58.7,"S4; construction",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:21:16.727,"wray.gabel_lmmp_selu",NA,NA,NA,-90.55775,30.29968
44,"9aa82c64-b483-4470-bde9-6c49cff77eeb",2023-12-08 02:00:00,NA,"eDNA_IN","553IN","eDNA_IN553IN","6",9.65,2176,1.41,NA,7.38,15.51,58.5,"S3",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:20:51.974,"wray.gabel_lmmp_selu",NA,NA,NA,-90.51884,30.32332
45,"f0bc4a97-5486-427a-aba1-3aae45f8b27c",2023-12-08 02:00:00,NA,"eDNA_IN","48IN","eDNA_IN48IN","1",9.4,2073,1.34,NA,7.3,7.91,58.5,"S2",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:21:44.412,"wray.gabel_lmmp_selu",NA,NA,NA,-90.42131,30.29435
46,"a1c45c4d-c46c-4ad4-a5a4-f40bbe7b59e2",2023-12-08 02:00:00,NA,"eDNA_IN","141IN","eDNA_IN141IN","1",8.95,1510,0.95,NA,7.51,9.76,59.3,"S12",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:22:26.992,"wray.gabel_lmmp_selu",NA,NA,NA,-90.41767,30.26615
47,"5d300716-7edc-4bd0-86be-ea22d46af32e",2023-12-08 02:00:00,NA,"eDNA_IN","186IN","eDNA_IN186IN","2",8.9,1309,0.81,NA,7.54,13.09,60.2,"S11",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:23:56.134,"wray.gabel_lmmp_selu",NA,NA,NA,-90.43407,30.22622
48,"fff646b8-e733-4eff-9b73-d6a3cfd1444b",2023-12-08 02:00:00,NA,"eDNA_IN","227IN","eDNA_IN227IN","3",8.75,1223,0.76,NA,7.39,20,59.1,"S10; Only sticks in sediment sample",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:25:49.897,"wray.gabel_lmmp_selu",NA,NA,NA,-90.45806,30.19162
49,"708de224-0544-4e1a-b265-d74d50542189",2023-12-08 02:00:00,NA,"eDNA_IN","96IN","eDNA_IN96IN","1",8.96,3714,2.52,NA,7.27,7.03,57.6,"S1",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2025-07-17 12:27:48.906,"wray.gabel_lmmp_selu",NA,NA,NA,-90.421340534,30.294470501
50,"db1c61b6-4fd4-444d-ae16-3372ef1bc2f0",2023-12-08 02:00:00,NA,"eDNA_OW","M23","eDNA_OWM23","3",8.76,760,0.46,NA,7.45,30.9,59.5,"O9",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:25:26.886,"wray.gabel_lmmp_selu",NA,NA,NA,-90.54491,30.1728
51,"8ae1b689-b7ef-4fe5-bf34-443b78088abc",2023-12-08 02:00:00,NA,"eDNA_OW","K23","eDNA_OWK23","4",8.57,584,0.35,NA,7.36,29.87,59.9,"O8",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:25:05.008,"wray.gabel_lmmp_selu",NA,NA,NA,-90.55918,30.18184
52,"2779be62-b2b2-44b7-8300-4fcfed90924b",2023-12-08 02:00:00,NA,"eDNA_OW","I17","eDNA_OWI17","4",10.35,2785,1.83,NA,7.77,5.97,58.6,"O7",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:24:28.281,"wray.gabel_lmmp_selu",NA,NA,NA,-90.54748,30.23256
53,"7f68ee10-2cf6-4f1d-a8cd-5ebc63d69df7",2023-12-08 02:00:00,NA,"eDNA_OW","L12","eDNA_OWL12","5",10.14,2801,1.84,NA,7.6,4.13,58.5,"O6",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:23:01.817,"wray.gabel_lmmp_selu",NA,NA,NA,-90.50461,30.25588
54,"b0ce15d5-9267-4fb5-b4a3-eece75dfafc2",2023-12-08 02:00:00,NA,"eDNA_OW","G11","eDNA_OWG11","5",10.14,2822,1.87,NA,7.65,5.3,58.2,"O5; plants",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:21:56.323,"wray.gabel_lmmp_selu",NA,NA,NA,-90.53598,30.28373
55,"75d0901b-ce37-48ad-a60d-5269f1d70a1c",2023-12-08 02:00:00,NA,"eDNA_OW","G8","eDNA_OWG8","6",10.08,757,1.66,NA,7.58,6.13,57.9,"O4",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:21:04.5,"wray.gabel_lmmp_selu",NA,NA,NA,-90.52254,30.3056
56,"4020eaa2-2aa0-4626-a585-c99e986e4914",2023-12-08 02:00:00,NA,"eDNA_OW","I3","eDNA_OWI3","6",9.26,2278,1.5,NA,7.3,9.14,57.6,"O3",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:20:37.187,"wray.gabel_lmmp_selu",NA,NA,NA,-90.48775,30.33158
57,"2bacdb66-4d2a-4077-952e-7d1fc9a71f19",2023-12-08 02:00:00,NA,"eDNA_OW","M4","eDNA_OWM4","1",10.01,2398,1.57,NA,7.5,12.3,58.3,"O2",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:21:30.664,"wray.gabel_lmmp_selu",NA,NA,NA,-90.46315,30.30508
58,"1afa0748-6c59-4f67-844d-82188955469c",2023-12-08 02:00:00,NA,"eDNA_OW","O9","eDNA_OWO9","2",9.81,2920,1.93,NA,7.52,4.75,58.5,"O12 ",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:22:48.59,"wray.gabel_lmmp_selu",NA,NA,NA,-90.47045,30.26395
59,"8d6b0b6a-f7e1-404c-a6dd-c5c180fe7828",2023-12-08 02:00:00,NA,"eDNA_OW","S11","eDNA_OWS11","2",9.48,2099,1.35,NA,7.53,9.31,58.7,"O11",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:23:41.272,"wray.gabel_lmmp_selu",NA,NA,NA,-90.45089,30.23255
60,"0a92b255-d423-476f-931c-41f3855df981",2023-12-08 02:00:00,NA,"eDNA_OW","M16","eDNA_OWM16","3",9.5,2703,1.77,NA,7.47,15.7,58.8,"O10",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:24:17.96,"wray.gabel_lmmp_selu",NA,NA,NA,-90.51489,30.22294
61,"cb1aa3fc-5118-4e4e-8875-114776a788bf",2023-12-08 02:00:00,NA,"eDNA_OW","S6","eDNA_OWS6","1",9.29,2400,1.58,NA,7.18,2.83,58.4,"O1",2023-12-12 16:18:05.174,"wray.gabel_lmmp_selu",2023-12-12 16:22:37.813,"wray.gabel_lmmp_selu",NA,NA,NA,-90.42883,30.26839
62,"a65f2bac-d407-47d2-9840-8bd565b9d7aa",2023-12-13 08:35:00,"0.75","CrabTrap","S9","CrabTrapS9","2",9.48,1722,1.15,1443,7.41,5.06,55.8,NA,2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4421351317214,30.2467708112763
63,"4eb806fe-86cd-41fe-aa58-de722c63f181",2023-12-13 08:43:00,"4","CrabTrap","T10","CrabTrapT10","2",9.82,1544,1.02,1292,7.57,8.48,55.9,NA,2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4391309551735,30.2352462954616
64,"26de750f-aab6-43e5-9f78-10ecf4324d6f",2023-12-13 08:54:00,"4","CrabTrap","T11","CrabTrapT11","2",9.38,1505,0.99,1260,7.44,8.02,56,NA,2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4436128088729,30.2282329568888
65,"4aa88f06-cf34-4db1-abf6-6ebc108f2583",2023-12-13 09:09:00,"3","CrabTrap","U12","CrabTrapU12","2",8.83,1361,0.89,1137,7.37,20.57,56.1,NA,2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4411730992344,30.2164804192133
66,"1ff8bbb2-437c-4b1c-b07a-2ae811b22e5f",2023-12-13 09:16:00,"4","CrabTrap","T13","CrabTrapT13","2",9.68,1391,0.91,1161,7.54,14.99,56.2,NA,2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",NA,NA,NA,-90.452253689575,30.2138653447564
67,"47d41563-5258-4b17-a864-d219f7e33831",2023-12-13 09:28:00,"4","CrabTrap","Q14","CrabTrapQ14","2",9.93,1871,1.25,1566,7.48,21.36,55.9,NA,2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4778058650289,30.2197950919361
68,"9b41b67b-7fa4-4253-b4a4-4add4d4f0b1c",2023-12-13 09:35:00,"4","CrabTrap","P14","CrabTrapP14","2",10.11,1990,1.33,1668,7.52,20.99,55.9,NA,2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4849523239739,30.2239667562402
69,"bf9dfa67-e8ab-4ce5-9647-4ba2aeae415b",2023-12-13 09:44:00,"4","CrabTrap","M14","CrabTrapM14","2",10.34,2218,1.5,1864,7.57,19.4,55.7,NA,2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",NA,NA,NA,-90.5063359604473,30.2369005718976
70,"1fce4d6c-2145-4be6-809d-548cf26abc2d",2023-12-13 09:59:00,"4","CrabTrap","N11","CrabTrapN11","2",10.16,2167,1.46,1816,7.51,8.16,55.8,NA,2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4863262051339,30.2539729144807
71,"f08c5c6a-267a-414f-ba3e-b5346e068d89",2023-12-13 10:21:00,"4","CrabTrap","O8","CrabTrapO8","1",10.22,2164,1.47,1833,7.46,5.1,55.1,NA,2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4662730753383,30.2709796156666
72,"18c2b04a-ae48-4476-99b3-c71c644ced5b",2023-12-13 10:34:00,"4","CrabTrap","N7","CrabTrapN7","1",10.26,2094,1.42,1769,7.49,5.42,55.3,NA,2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4689873732039,30.2825350491139
73,"93bd5951-a889-4660-a0ef-88d662b801f8",2023-12-13 10:48:00,"4","CrabTrap","N5","CrabTrapN5","1",10.71,2002,1.35,1687,7.7,7.67,55.5,NA,2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",2023-12-18 12:55:33.114,"wray.gabel_lmmp_selu",NA,NA,NA,-90.4605190540269,30.2965692347492
